category,pattern,count,percentage
single_link,bVII -> vi,12,0.041322
single_link,iv -> vii,12,0.041322
single_link,bIII -> V,12,0.041322
single_link,bIII -> II,12,0.041322
single_link,vi -> bvii,12,0.041322
single_link,VI -> II,12,0.041322
single_link,bvii -> V,12,0.041322
single_link,iii -> bIII,12,0.041322
single_link,bII -> II,11,0.037879
single_link,VI -> bVII,11,0.037879
single_link,bVI -> vi,11,0.037879
single_link,ii -> II,11,0.037879
single_link,IV -> vi,11,0.037879
single_link,v -> iii,11,0.037879
single_link,VI -> bii,11,0.037879
single_link,bVI -> V,11,0.037879
single_link,VII -> bII,11,0.037879
single_link,biii -> V,11,0.037879
single_link,v -> iv,11,0.037879
single_link,vii -> V,11,0.037879
single_link,vi -> bvi,11,0.037879
single_link,bIII -> iii,11,0.037879
single_link,bII -> VII,11,0.037879
single_link,bvii -> vi,11,0.037879
single_link,bVII -> i,10,0.034435
single_link,V -> iv,10,0.034435
single_link,v -> V,10,0.034435
single_link,IV -> v,10,0.034435
single_link,bVII -> bVI,10,0.034435
single_link,iii -> V,10,0.034435
single_link,IV -> bII,10,0.034435
single_link,iii -> III,10,0.034435
single_link,II -> bII,10,0.034435
single_link,iii -> iv,10,0.034435
single_link,VII -> iii,10,0.034435
single_link,bvi -> ii,10,0.034435
single_link,iii -> v,10,0.034435
single_link,v -> vi,10,0.034435
single_link,bII -> bIII,10,0.034435
single_link,ii -> bVI,9,0.030992
single_link,bIII -> biii,9,0.030992
single_link,vi -> bVII,9,0.030992
single_link,III -> bii,9,0.030992
single_link,ii -> bIII,9,0.030992
single_link,bII -> bii,9,0.030992
single_link,ii -> vi,9,0.030992
single_link,VII -> bvi,9,0.030992
single_link,iv -> v,9,0.030992
single_link,bIII -> bII,9,0.030992
single_link,ii -> vii,9,0.030992
single_link,v -> bII,9,0.030992
single_link,II -> vi,9,0.030992
single_link,VII -> vi,9,0.030992
single_link,V -> biii,9,0.030992
single_link,vi -> bII,8,0.027548
single_link,II -> iv,8,0.027548
single_link,v -> bIII,8,0.027548
single_link,II -> VI,8,0.027548
single_link,II -> i,8,0.027548
single_link,bII -> VI,8,0.027548
single_link,bVII -> iii,7,0.024105
single_link,iii -> vii,7,0.024105
single_link,vi -> iv,7,0.024105
single_link,bVII -> IV,7,0.024105
single_link,ii -> IV,7,0.024105
single_link,bVII -> v,7,0.024105
single_link,iv -> VI,7,0.024105
single_link,ii -> VI,7,0.024105
single_link,bvii -> bVI,7,0.024105
single_link,II -> VII,7,0.024105
single_link,vi -> VII,7,0.024105
single_link,III -> vii,7,0.024105
single_link,v -> IV,7,0.024105
single_link,II -> bIII,6,0.020661
single_link,bII -> iv,6,0.020661
single_link,iv -> bVII,6,0.020661
single_link,bII -> bVI,6,0.020661
single_link,bii -> III,6,0.020661
single_link,VII -> vii,6,0.020661
single_link,IV -> bvi,6,0.020661
single_link,bvi -> I,6,0.020661
single_link,bIII -> vi,6,0.020661
single_link,v -> II,6,0.020661
single_link,ii -> VII,6,0.020661
single_link,vi -> II,6,0.020661
